"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4295","Verify withdrawal fails with insufficient funds","Surefire suite","Tue Feb 24 13:46:52 UTC 2026","passed","Tue Feb 24 13:46:56 UTC 2026","com.globalbanktests.tests.client.FundsWithdrawalTest","Surefire test","com.globalbanktests.tests.client.FundsWithdrawalTest","verifyWithdrawalInsufficientFunds"
"","4308","Verify negative deposit amounts are rejected (balance remains unchanged)","Surefire suite","Tue Feb 24 13:46:12 UTC 2026","passed","Tue Feb 24 13:46:17 UTC 2026","com.globalbanktests.tests.client.FundsDepositTest","Surefire test","com.globalbanktests.tests.client.FundsDepositTest","verifyNegativeDepositRejected"
"","5846","Verify a customer can view their transaction history and see recent deposits","Surefire suite","Tue Feb 24 13:46:30 UTC 2026","passed","Tue Feb 24 13:46:35 UTC 2026","com.globalbanktests.tests.client.TransactionHistoryTest","Surefire test","com.globalbanktests.tests.client.TransactionHistoryTest","verifyRecentDepositInTransactionHistory"
"","7084","Verify a customer can successfully withdraw funds","Surefire suite","Tue Feb 24 13:46:44 UTC 2026","passed","Tue Feb 24 13:46:51 UTC 2026","com.globalbanktests.tests.client.FundsWithdrawalTest","Surefire test","com.globalbanktests.tests.client.FundsWithdrawalTest","verifyValidWithdrawal"
"This test verifies that a customer can access the client portal by clicking the Customer Login button and selecting their name from the dropdown.","5467","Verify a customer can log in via the client portal","Surefire suite","Tue Feb 24 13:46:38 UTC 2026","passed","Tue Feb 24 13:46:44 UTC 2026","com.globalbanktests.tests.client.ClientLoginTest","Surefire test","com.globalbanktests.tests.client.ClientLoginTest","verifyCustomerLogin"
"This test verifies that a Bank Manager can locate a customer via the search bar and permanently remove them from the system using the Delete button.","18539","Verify a client can be found and deleted from the admin panel","Surefire suite","Tue Feb 24 13:45:48 UTC 2026","passed","Tue Feb 24 13:46:06 UTC 2026","com.globalbanktests.tests.admin.DeleteClientTest","Surefire test","com.globalbanktests.tests.admin.DeleteClientTest","verifyClientDeletion"
"This test verifies that regular customers should NOT be able to reset transaction history. Presence of the Reset button is a security bug (BUG-004).","11811","Verify a customer can reset/clear their transaction history","Surefire suite","Tue Feb 24 13:46:17 UTC 2026","failed","Tue Feb 24 13:46:29 UTC 2026","com.globalbanktests.tests.client.TransactionResetTest","Surefire test","com.globalbanktests.tests.client.TransactionResetTest","verifyTransactionHistoryReset"
"This test verifies that a Bank Manager can create a new Dollar account for an existing customer by selecting the customer and currency from the Open Account form.","6964","Verify a new bank account can be opened for an existing client","Surefire suite","Tue Feb 24 13:45:34 UTC 2026","passed","Tue Feb 24 13:45:41 UTC 2026","com.globalbanktests.tests.admin.OpenAccountTest","Surefire test","com.globalbanktests.tests.admin.OpenAccountTest","verifyAccountCreation"
"Verifies that the Add Customer form enforces alphabetic-only validation on the first name field. Numeric input should be rejected.","8321","Numeric first name should be rejected by validation","Surefire suite","Tue Feb 24 13:45:05 UTC 2026","failed","Tue Feb 24 13:45:14 UTC 2026","com.globalbanktests.tests.admin.RegisterClientTest","Surefire test","com.globalbanktests.tests.admin.RegisterClientTest","verifyNumericFirstNameIsRejected"
"This test verifies that clicking the Bank Manager Login button on the home page successfully navigates the admin to the management dashboard.","3258","Verify clicking the Admin Login button opens the admin dashboard","Surefire suite","Tue Feb 24 13:45:44 UTC 2026","passed","Tue Feb 24 13:45:47 UTC 2026","com.globalbanktests.tests.admin.AdminLoginTest","Surefire test","com.globalbanktests.tests.admin.AdminLoginTest","verifyAdminLoginNavigation"
"This test verifies that a Bank Manager can navigate to the Customers section and see the full list of registered customers.","3506","Verify the admin can navigate to and view the list of registered clients","Surefire suite","Tue Feb 24 13:45:29 UTC 2026","passed","Tue Feb 24 13:45:33 UTC 2026","com.globalbanktests.tests.admin.ViewClientsTest","Surefire test","com.globalbanktests.tests.admin.ViewClientsTest","verifyClientListIsAccessible"
"This test verifies that a Bank Manager can search for a specific customer by name and that the customers table filters correctly to show only matching results.","5233","Verify client search filters the list by matching name","Surefire suite","Tue Feb 24 13:45:23 UTC 2026","passed","Tue Feb 24 13:45:29 UTC 2026","com.globalbanktests.tests.admin.SearchClientTest","Surefire test","com.globalbanktests.tests.admin.SearchClientTest","verifyClientSearch"
"","4316","Verify a customer can successfully deposit funds","Surefire suite","Tue Feb 24 13:46:07 UTC 2026","passed","Tue Feb 24 13:46:12 UTC 2026","com.globalbanktests.tests.client.FundsDepositTest","Surefire test","com.globalbanktests.tests.client.FundsDepositTest","verifySuccessfulDeposit"
"Verifies that the Add Customer form enforces numeric-only validation on the post code field. Alphabetic postal codes should be rejected.","8142","Alphabetic postal code should be rejected by validation","Surefire suite","Tue Feb 24 13:45:14 UTC 2026","failed","Tue Feb 24 13:45:23 UTC 2026","com.globalbanktests.tests.admin.RegisterClientTest","Surefire test","com.globalbanktests.tests.admin.RegisterClientTest","verifyAlphabeticPostcodeIsRejected"
"This test verifies that a Bank Manager can successfully add a new customer by providing a first name, last name, and postal code through the admin dashboard.","8809","Verify a new client can be registered through the admin panel","Surefire suite","Tue Feb 24 13:44:56 UTC 2026","passed","Tue Feb 24 13:45:05 UTC 2026","com.globalbanktests.tests.admin.RegisterClientTest","Surefire test","com.globalbanktests.tests.admin.RegisterClientTest","verifyNewClientRegistration"
